name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
De Ligt,MUN,DEF,5.0,Available,88,2,0,0.7,3.2
Mazraoui,MUN,DEF,4.5,Available,260,13,2,4.3,13.0
Collyer,MUN,MID,4.5,Available,45,1,0,1.0,0.1
Wheatley,MUN,FWD,4.5,Available,0,0,0,0.0,0.4
Ugarte,MUN,MID,5.0,Available,0,0,0,0.0,0.0
A.Murphy,NEW,DEF,4.0,Available,0,0,0,0.0,0.9
Almirón,NEW,MID,5.8,Available,2,2,0,1.0,0.6
Barnes,NEW,MID,6.4,Available,112,15,3,5.0,0.6
Botman,NEW,DEF,4.5,Injured,0,0,0,0.0,0.0
Bruno G.,NEW,MID,6.4,Available,270,6,0,2.0,2.5
Burn,NEW,DEF,4.5,Available,270,6,0,2.0,14.7
Dúbravka,NEW,GKP,4.4,Available,0,0,0,0.0,0.8
Gordon,NEW,MID,7.4,Available,247,15,3,5.0,18.4
Hall,NEW,DEF,4.5,Available,112,7,0,2.3,3.5
Hayden,NEW,MID,4.5,Available,0,0,0,0.0,0.1
Isak,NEW,FWD,8.5,Available,270,16,3,5.3,43.8
J.Murphy,NEW,MID,5.4,Available,115,6,0,2.0,1.0
Joelinton,NEW,MID,6.0,Available,270,13,3,4.3,2.6
Kelly,NEW,DEF,4.5,Available,155,7,0,2.3,0.2
Krafth,NEW,DEF,4.5,Doubtful,240,10,0,3.3,0.2
Kuol,NEW,MID,4.5,Available,0,0,0,0.0,0.0
Lascelles,NEW,DEF,4.5,Injured,0,0,0,0.0,0.0
Lewis,NEW,DEF,4.0,NotAvail,0,0,0,0.0,0.5
Livramento,NEW,DEF,4.5,Available,237,10,1,3.3,2.9
Longstaff,NEW,MID,4.9,Available,226,6,0,2.0,0.9
Miley,NEW,MID,5.0,Injured,0,0,0,0.0,0.0
Odysseas,NEW,GKP,4.4,Available,0,0,0,0.0,0.1
Pope,NEW,GKP,5.0,Available,270,16,2,5.3,8.9
Ruddy,NEW,GKP,4.0,Available,0,0,0,0.0,0.3
Schär,NEW,DEF,5.4,Available,27,-2,0,-2.0,0.9
Targett,NEW,DEF,4.0,Available,0,0,0,0.0,0.5
Tonali,NEW,MID,5.5,Available,22,1,0,1.0,0.2
Trippier,NEW,DEF,5.8,Available,32,1,0,1.0,7.5
White,NEW,MID,4.5,NotAvail,0,0,0,0.0,0.3
Willock,NEW,MID,4.9,Doubtful,20,1,0,1.0,0.1
Wilson,NEW,FWD,6.9,Doubtful,0,0,0,0.0,0.0
Pivas,NEW,DEF,4.0,Available,0,0,0,0.0,0.1
Osula,NEW,FWD,5.0,Available,0,0,0,0.0,0.1
Alex Moreno,NFO,DEF,4.4,Available,0,0,0,0.0,0.5
Aina,NFO,DEF,4.4,Available,233,12,3,4.0,2.1
Anderson,NFO,MID,5.0,Available,182,10,2,3.3,0.2
Awoniyi,NFO,FWD,5.8,Available,34,3,0,1.0,0.5
Boly,NFO,DEF,4.5,Available,91,3,0,1.5,0.2
Bowler,NFO,MID,4.5,NotAvail,0,0,0,0.0,0.1
C.Miguel,NFO,GKP,4.4,Available,0,0,0,0.0,0.2
Da Silva Moreira,NFO,MID,4.5,Available,0,0,0,0.0,0.1
Danilo,NFO,MID,4.8,Injured,14,1,0,1.0,0.0
Dennis,NFO,FWD,5.0,Available,0,0,0,0.0,0.2
Dominguez,NFO,MID,4.9,Available,51,1,0,0.5,0.0
Elanga,NFO,MID,5.4,Available,233,6,0,2.0,1.4
Gibbs-White,NFO,MID,6.5,Available,270,13,2,4.3,4.2
Hudson-Odoi,NFO,MID,5.4,Available,240,8,0,2.7,2.5
Mighten,NFO,MID,4.5,NotAvail,0,0,0,0.0,0.0
Murillo,NFO,DEF,4.5,Available,270,11,1,3.7,0.6
N.Williams,NFO,DEF,4.5,Available,270,9,0,3.0,0.7
O.Richards,NFO,DEF,4.5,NotAvail,0,0,0,0.0,0.0
O'Brien,NFO,MID,5.0,NotAvail,0,0,0,0.0,0.0
Omobamidele,NFO,DEF,4.4,Available,0,0,0,0.0,0.1
Panzo,NFO,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Sangaré,NFO,MID,4.5,Available,212,4,0,1.3,2.7
Sels,NFO,GKP,4.5,Available,270,11,0,3.7,1.8
Toffolo,NFO,DEF,4.4,Available,36,1,0,1.0,0.1
Ui-jo,NFO,FWD,4.5,Available,0,0,0,0.0,3.8
Wood,NFO,FWD,6.1,Available,235,19,6,6.3,7.8
Worrall,NFO,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Yates,NFO,MID,5.0,Available,131,9,2,3.0,0.2
Ward-Prowse,NFO,MID,6.4,Available,16,1,0,1.0,1.1
Milenković,NFO,DEF,4.5,Available,180,8,0,4.0,0.2
Jota Silva,NFO,MID,6.0,Available,2,2,0,1.0,0.1
Sosa,NFO,MID,5.5,Available,10,1,0,1.0,0.0
Morato,NFO,DEF,4.5,Available,0,0,0,0.0,0.0
Ramsdale,SOU,GKP,4.4,Available,90,2,0,2.0,1.5
Archer,SOU,FWD,5.0,Available,82,3,0,1.0,1.6
Ugochukwu,SOU,MID,4.5,Available,0,0,0,0.0,0.4
Fraser,SOU,MID,4.9,Available,0,0,0,0.0,0.0
Alcaraz,SOU,MID,4.9,NotAvail,9,1,0,1.0,0.1
Amo-Ameyaw,SOU,MID,4.5,Available,9,1,0,1.0,0.1
Aribo,SOU,MID,5.0,Available,225,6,0,2.0,0.1
Armstrong,SOU,FWD,5.5,Available,205,4,0,1.3,1.4
Bazunu,SOU,GKP,4.4,Injured,0,0,0,0.0,0.2
Bednarek,SOU,DEF,4.0,Available,260,4,0,1.3,3.0
Bella-Kotchap,SOU,DEF,4.0,Available,0,0,0,0.0,0.3
Bree,SOU,DEF,4.0,Available,0,0,0,0.0,0.2
Charles,SOU,MID,4.5,NotAvail,0,0,0,0.0,0.1
Edozie,SOU,MID,4.9,Available,64,1,0,0.5,0.0
Edwards,SOU,DEF,4.0,Available,0,0,0,0.0,0.2
Harwood-Bellis,SOU,DEF,4.0,Available,220,3,0,1.0,11.1
Kamaldeen,SOU,MID,5.0,Doubtful,0,0,0,0.0,0.0
Lallana,SOU,MID,5.0,Available,8,4,0,4.0,0.0
Larios,SOU,DEF,4.0,Available,0,0,0,0.0,0.1
Lis,SOU,GKP,4.0,NotAvail,0,0,0,0.0,0.2
Lumley,SOU,GKP,4.0,Available,0,0,0,0.0,0.3
Manning,SOU,DEF,4.4,Available,0,0,0,0.0,0.1
Mara,SOU,FWD,5.0,NotAvail,0,0,0,0.0,0.1
McCarthy,SOU,GKP,4.5,Available,180,6,0,3.0,0.2
Onuachu,SOU,FWD,5.0,Available,0,0,0,0.0,0.1
Smallbone,SOU,MID,5.0,Available,218,5,0,1.7,0.1
Stephens,SOU,DEF,4.0,Available,270,4,0,1.3,0.9
Stewart,SOU,FWD,4.5,Doubtful,0,0,0,0.0,0.6
Sugawara,SOU,DEF,4.5,Available,206,10,0,3.3,0.2
Taylor,SOU,DEF,4.0,Available,14,1,0,1.0,4.8
Walker-Peters,SOU,DEF,4.5,Available,260,5,0,1.7,0.5
Wood,SOU,DEF,4.0,Available,0,0,0,0.0,1.5
Cornet,SOU,MID,4.9,Available,0,0,0,0.0,0.0
Downes,SOU,MID,5.0,Available,270,5,0,1.7,0.1
Brereton Díaz,SOU,MID,5.4,Available,250,5,0,1.7,0.6
Dibling,SOU,MID,4.5,Available,60,3,0,1.0,0.2
M.Fernandes,SOU,MID,5.0,Available,59,2,0,1.0,0.0
Solanke,TOT,FWD,7.5,Doubtful,90,2,0,2.0,8.3
A.Phillips,TOT,DEF,4.0,NotAvail,0,0,0,0.0,0.4
Austin,TOT,GKP,4.0,Available,0,0,0,0.0,0.5
Bentancur,TOT,MID,5.0,Available,85,1,0,0.5,0.1
Bergvall,TOT,MID,4.5,Available,31,3,0,1.0,1.0
Bissouma,TOT,MID,5.0,Available,152,10,1,5.0,0.5
Bryan,TOT,MID,5.0,NotAvail,0,0,0,0.0,0.0
Davies,TOT,DEF,4.4,Available,0,0,0,0.0,0.2
Devine,TOT,MID,4.5,Available,0,0,0,0.0,0.1
Dragusin,TOT,DEF,4.4,Available,90,1,0,1.0,0.2
E.Royal,TOT,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Forster,TOT,GKP,4.5,Available,0,0,0,0.0,0.2
Gray,TOT,MID,4.9,Available,30,2,0,1.0,0.2
Højbjerg,TOT,MID,5.0,NotAvail,0,0,0,0.0,0.0
Johnson,TOT,MID,6.4,Available,212,9,0,3.0,0.5
Kulusevski,TOT,MID,6.4,Available,167,9,0,3.0,1.8
Lo Celso,TOT,MID,4.9,NotAvail,0,0,0,0.0,0.1
Maddison,TOT,MID,7.5,Available,237,12,0,4.0,4.6
Pedro Porro,TOT,DEF,5.5,Available,270,16,1,5.3,34.9
Reguilón,TOT,DEF,4.4,Available,0,0,0,0.0,0.2
Richarlison,TOT,FWD,6.9,Injured,25,2,0,1.0,0.7
Romero,TOT,DEF,5.1,Available,270,17,2,5.7,9.7
P.M.Sarr,TOT,MID,4.9,Available,145,3,0,1.0,0.2
Scarlett,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.1
Solomon,TOT,MID,5.4,NotAvail,0,0,0,0.0,0.0
Son,TOT,MID,10.0,Available,270,21,4,7.0,9.2
Spence,TOT,DEF,4.4,Available,18,2,0,1.0,0.1
Udogie,TOT,DEF,5.0,Available,252,9,0,3.0,3.5
Van de Ven,TOT,DEF,4.5,Doubtful,180,11,0,5.5,7.6
Veliz,TOT,FWD,5.0,NotAvail,0,0,0,0.0,0.0
Vicario,TOT,GKP,5.0,Available,270,9,0,3.0,3.9
